Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO;30.230.870/0001-18;Geral;Híbridos;Híbrido;Outro;Indeterminado;Ativa;1,50;0,00;50.188;5.841.881;34,90;203,88;0,01;Milhões;TORD11
TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.368.925/0001-37;Geral;Títulos e valores mobiliários;Híbrido;Fundo de desenvolvimento;Determinado;Passiva;1,0;0,00;445;3.746.009;100,11;375,00;2,60;Milhões;TRXB11
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;28.548.288/0001-52;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;1,00;0,22;191.191;32.493.273;101,16;3,29;0,93;Bilhões;TRXF11
V2 PRIME PROPERTIES FUNDO DE INVESTIMENTO  IMOBILIÁRIO – FII;30.654.849/0001-40;Geral;Renda;Outros;Fundo misto;Indeterminado;Ativa;0,95 a,a;35,39;36.959;7.316.160;39,04;285,64;0,07;Milhões;VPPR11
V2 RENDA IMOBILIÁRIA FDO DE INV IMOB;49.184.940/0001-77;Geral;Renda;Híbrido;Outro;Indeterminado;Ativa;;15,09;150;802.672;93,79;75,28;0,60;Milhões;VVRI11
V2 RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;23.120.027/0001-13;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Determinado;Ativa;0,90;0,00;2.206;7.508.321;10,32;77,50;0,11;Milhões;VVCR11
VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.197.811/0001-46;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1;0,00;84.599;11.787.236;88,28;1,04;0,76;Bilhão;VGIP11
VALORA RE III FUNDO DE INVESTIMENTO IMOBILIÁRIO;29.852.732/0001-91;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;0,20;0,00;256.344;146.101.276;9,75;1,42;0,14;Bilhão;VGIR11
VBI AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.754.734/0001-52;Geral;Renda;Outros;Fundo misto;Indeterminado;Ativa;1,0;0,00;15.849;5.221.828;61,63;321,81;0,48;Milhões;PLAG11
VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;32.400.250/0001-05;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,60;0,00;30.794;14.723.959;93,10;1,37;0,90;Bilhão;VCJR11
VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO;35.507.457/0001-71;Geral;Renda;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,15;0,00;55.018;10.276.001;74,36;764,13;0,70;Milhões;RVBI11
VALORA HEDGE FUND. FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;36.771.692/0001-19;Geral;Títulos e valores mobiliários;Híbrido;Fundo de papel;Indeterminado;Ativa;0,90;0,00;393.807;164.721.672;8,50;1,40;0,09;Bilhão;VGHF11
VALORA RENDA IMOB FUNDO DE INVES IMOB -RESP LIMIT;53.656.482/0001-07;Geral;Renda;Híbrido;Fundo de Tijolo;Indeterminado;Ativa;0.085;19,60;18.010;35.021.725;10,58;370,67;0,12;Milhões;VGRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING;00.332.266/0001-31;fii.GENERAL;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Passive;0,12;10,10;3.933;2.800.138;155,87;436,45;0,05;Milhões;FVPQ11
VERSALHES RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.244.015/0001-42;Geral;Híbridos;Outros;Fundo de papel;Indeterminado;Ativa;de 1,00;0,00;68.687;29.864.080;10,09;301,25;0,03;Milhões;VSLH11
VBI OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO;34.895.894/0001-47;Geral;Híbridos;Lajes Corporativas;Fundo de Tijolo;Determinado;Ativa;1,25;0,00;323;994.803;104,79;104,25;0,53;Milhões;BLMO11
VINCI IMÓVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.445.587/0001-90;Geral;Renda;Outros;Fundo misto;Indeterminado;Ativa;0,85;3,00;45.727;26.946.209;8,74;235,54;0,07;Milhões;VIUR11
