Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média
IAAG11,Títulos e Val. Mob.,7.31,13.2,15.97,0.75,76420000,151187,0,000,0.0,0.0,0.0
IAGR11,Outros,3.95,0.19,2.62,0.62,11051900,18148,0,000,0.0,0.0,0.0
IBBP11,Outros,8.1,9.08,5.25,0.9,247284000,13557,24,74556,8592.0,11.52,0.21
IBCR11,Títulos e Val. Mob.,58.4,10.64,17.1,0.62,55971900,136162,0,000,0.0,0.0,0.0
IBFF11,Títulos e Val. Mob.,66.4,8.28,0.0,0.93,44267600,0,0,000,0.0,0.0,0.0
ICRI11,Títulos e Val. Mob.,95.72,9.89,13.83,0.96,369226000,819037,0,000,0.0,0.0,0.0
IDFI11,Títulos e Val. Mob.,2.0,16.41,277.77,0.46,4115850,0,2,000,0.0,0.0,0.0
IDGR11,Híbrido,1.5,-15.05,134.66,0.0,1325040,0,0,000,0.0,0.0,0.0
IFID11,Títulos e Val. Mob.,80.06,7.66,0.0,1.25,59897000,0,0,000,0.0,0.0,0.0
IFIE11,Títulos e Val. Mob.,71.98,12.86,0.0,1.04,64817600,0,0,000,0.0,0.0,0.0
INLG11,Logística,75.32,12.39,12.01,0.75,339852000,187852,5,2828.73,37513.0,13.26,0.84
INRD11,Residencial,74.14,12.15,9.73,0.63,83830500,53220,5,3198.34,54305.0,16.98,1.18
IRDM11,Títulos e Val. Mob.,67.5,14.36,13.68,0.82,2459280000,2726040,0,000,0.0,0.0,0.0
IRIM11,Híbrido,67.55,15.15,14.46,0.78,129696000,22820,1,2620.17,0.0,0.0,0.0
ISCJ11,Títulos e Val. Mob.,100.0,9.08,9.43,0.42,18765000,109,0,000,0.0,0.0,0.0
ITIP11,Títulos e Val. Mob.,66.14,5.87,12.57,0.94,49482700,65119,0,000,0.0,0.0,0.0
ITIT11,Títulos e Val. Mob.,68.87,13.41,10.56,0.9,62017000,90478,0,000,0.0,0.0,0.0
ITRI11,Híbrido,81.3,11.05,11.72,0.88,508125000,786234,0,000,0.0,0.0,0.0
