Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,carteira_investidor_10,Papel
"3,40","-76,81","1,94","0,45","6,46",,LUXM4
"250,00","-3,85","-70,05","3,83","0,00",,FRIO3
"5,91","-47,00","1,08","-0,32","0,00",,NORD3
"7,10","-3,29","8,10","2,92","9,28",,EQPA6
"7,08","1,92","20,18","1,86","5,74",,AFLT3
"31,51","30,16","8,68","0,96","10,33",,PATI4
"12,50","32,56","4,59","0,37","3,22",,CBEE3
"6,05",-,"-100,64","131,69","0,00",,PSVM11
"15,00","-49,14","-3,70","0,74","0,00",,CRPG6
"62,99","-21,75","13,72","3,43","4,40",,ENMT4
"8,72","-36,49","-0,75","-1,64","0,00",,BRKM6
"2,95","-53,10","-38,01","28,80","0,00",,DTCY3
"4,27","-59,33","-0,01","-0,01","0,00",,GSHP3
"21,00","83,34","6,63","1,13","6,46",,BALM3
"28,60","23,88","6,18","1,16","9,58",,EQMA3B
"25,00","-7,11","6,15","1,10","4,19",,MRSA6B
"37,43","0,04","4,43","1,16","4,93",,CEEB5
"26,50","-8,67","6,52","1,16","3,59",,MRSA3B
"35,98","74,59","12,24","2,01","21,04",,GEPA3
"16,55","3,44","9,63","0,57","8,36",,BMIN4
"6,46","-14,00","7,37","2,66","10,20",,EQPA5
"15,98","6,86","8,52","0,62","8,57",,BRSR5
"38,00","-11,86","20,03","0,80","2,18",,PEAB3
"32,00","11,24","9,83","0,73","4,22",,COCE3
"91,06","-0,10","3,60","0,56","6,02",,BNBR3
"32,99","14,45","7,40","1,82","3,28",,BMEB3
"100,50","54,73","5,26","1,00","8,21",,CLSC3
