Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,SEGMENTO,TIPO DE FUNDO,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
CAPITÂNIA REIT FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.611/0001-23,Geral,Híbridos,Híbrido,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a","0,00%",6.531,1.079.685,"R$ 62,49","R$ 67,46 Milhões","R$ 0,50",CPFF11
CAPITÂNIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,52.371.756/0001-40,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,,"0,00%",571,34.345.209,"R$ 9,68","R$ 332,38 Milhões","R$ 0,03",CPLG11
CAPITÂNIA OFFICE FII - FDO DE INV IMOB,48.916.699/0001-60,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,"3,00%",120,4.439.061,"R$ 109,73","R$ 487,09 Milhões","R$ 0,65",CPOF11
SHOPPINGS AAA FDO DE INV IMOB,47.896.665/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,"4,60%",21.496,79.699.807,"R$ 11,79","R$ 939,34 Milhões","R$ 0,10",CPSH11
CAPITANIA AGRO STRATEGIES,42.537.579/0001-76,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",22.250,19.824.667,"R$ 9,86","R$ 195,54 Milhões","R$ 0,11",CPTR11
CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.979.895/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,05% a.a sobre patrimônio líquido (minimo R$30.000,00 mensais)","0,00%",355.292,328.558.318,"R$ 8,90","R$ 2,92 Bilhões","R$ 0,09",CPTS11
Classe Única do Capitânia HBC Renda Urbana,34.691.520/0001-00,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$20.000,00 mensais)","0,50%",1.331,41.742.427,"R$ 9,85","R$ 411,11 Milhões","R$ 0,10",CPUR11
SPARTA FIAGRO FDO INV NAS CAD PROD AGRO,48.903.610/0001-21,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",8.744,2.369.825,"R$ 102,11","R$ 241,97 Milhões","R$ 1,25",CRAA11
CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31.887.401/0001-39,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"1,15% a.a sobre patrimônio liquido do fundo (minimo R$30.000,00 mensais)","0,00%",1.246,690.029,"R$ 81,92","R$ 56,53 Milhões","R$ 0,61",CRFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERNACIONAL,00.762.723/0001-28,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,265% a.a sobre patrimônio liquido (minimo R$26.819,99 mensais)","0,00%",2.304,3.921.423,"R$ 25,99","R$ 101,91 Milhões","R$ 0,02",CTXT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - VBI CRI,28.729.197/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,90% a.a. sobre o Patrimônio Líquido do Fundo","0,00%",87.091,11.010.217,"R$ 92,20","R$ 1,02 Bilhão","R$ 1,05",CVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS,40.189.596/0001-34,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,"0,58% a.a. sobre patrimônio líquido","0,00%",11.899,2.090.610,"R$ 116,27","R$ 243,07 Milhões","R$ 0,70",CXAG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CEDAE,10.991.914/0001-15,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"5,0% a.m sobre total de receitas do fundo (minimo R$45.000,00 mensais)","0,00%",3.096,1.712.939,"R$ 63,41","R$ 108,62 Milhões","R$ 0,44",CXCE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA,42.066.916/0001-94,Geral,Títulos e valores mobiliários,Fundo de Fundos,Fundo de fundos,Indeterminado,Ativa,,"0,00%",5.360,2.057.715,"R$ 85,13","R$ 175,17 Milhões","R$ 0,75",CXCI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA IMÓVEIS CORPORATIVOS,38.658.984/0001-75,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a sobre patrimônio liquido","0,00%",12.642,3.924.489,"R$ 96,14","R$ 377,31 Milhões","R$ 0,66",CXCO11
CAIXA RIO BRAVO FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.098.794/0001-70,Geral,Híbridos,Híbrido,Fundo de fundos,Indeterminado,Ativa,"1,20% a.a sobre patrimônio liquido do fundo (minimo R$30.000,00 mensais)","0,00%",1.830,1.575.749,"R$ 81,57","R$ 128,53 Milhões","R$ 0,59",CXRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA TRX LOGÍSTICA RENDA,12.887.506/0001-43,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,41% a.a","0,00%",640,53.586,"R$ 416,23","R$ 22,31 Milhões","R$ 2,15",CXTL11
DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO,53.866.872/0001-01,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",732,5.537.020,"R$ 8,49","R$ 47,01 Milhões","R$ 0,08",DAMA11
,,,,,,,,,,,,,,,DAMT11
DEVANT FUNDO INVEST NAS CAD PROD AGROIND,42.888.360/0001-11,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",16.392,6.738.894,"R$ 9,62","R$ 64,84 Milhões","R$ 0,09",DCRA11
DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.087.810/0001-37,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,70% a.a","0,00%",89.635,14.044.897,"R$ 97,18","R$ 1,36 Bilhão","R$ 0,45",DEVA11
MAC FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.579.348/0001-46,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Indeterminado,Passiva,"0,10% a.a. (mínimo de R$ 15 mil mensais)","0,00%",2.347,156.097,"R$ 4,99","R$ 778,26 Mil","R$ 4,89",DMAC11
REAG RENDA IMOBILIARIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.374.696/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,"0,00%",1.107,2.443.789,"R$ 102,10","R$ 249,52 Milhões","R$ 0,47",DOMC11
,,,,,,,,,,,,,,,DOVL11
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.922.127/0001-08,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,13% a.a","0,00%",741,5.003.209,"R$ 9,14","R$ 45,75 Milhões","R$ 0,06",DPRO11
MULTIGESTÃO RENDA COMERCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,10.456.810/0001-00,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,15% a.a sobre patrimônio líquido (mínimo de R$5.000,00 mensais)","36,90%",333,463.266,"R$ 133,56","R$ 61,88 Milhões","R$ 0,52",DRIT11
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVANT FOF IMOBILIÁRIOS,39.863.059/0001-49,Geral,Títulos e valores mobiliários,Híbrido,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a. sobre o patrimônio líquido (mínimo R$15.000,00 mensais)","0,00%",1.835,11.009.489,"R$ 8,26","R$ 90,92 Milhões","R$ 0,07",DVFF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OUROINVEST,06.175.262/0001-73,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,30% a.a","28,27%",477,235.989,"R$ 211,53","R$ 49,92 Milhões","R$ 1,04",EDFO11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO GALERIA,15.333.306/0001-37,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a sobre valor total de ativos (minimo R$30.000,00 mensais)","23,55%",4.060,3.812.044,"R$ 46,97","R$ 179,05 Milhões","R$ 0,08",EDGA11
ECOAGRO I FDO INV CADEIAS PROD AGROIND,41.224.330/0001-48,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",11.384,3.131.903,"R$ 99,12","R$ 310,43 Milhões","R$ 1,41",EGAF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - ELDORADO,13.022.994/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,065% a.a","1,34%",108,787.245,"R$ 1.662,18","R$ 1,31 Bilhão","R$ 1,00",ELDO11B
FUNDO DE INVESTIMENTO IMOBILIÁRIO NCH EQI HIGH YIELD RECEBÍVEIS IMOB,18.085.673/0001-57,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio líquido (mínimo de R$13.000,00 mensais)","0,00%",6.705,1.441.959,"R$ 93,69","R$ 135,10 Milhões","R$ 0,86",EQIN11
EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.380/0001-25,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido","0,00%",10.203,10.909.304,"R$ 9,58","R$ 104,48 Milhões","R$ 0,10",EQIR11
ESTOQUE RESIDENCIAL E COMERCIAL RJ FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.266.902/0001-84,Investidor Qualificado,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,"0,10% a.a. sobre patrimônio líquido","0,00%",10,2.365,"R$ 18.279,65","R$ 43,43 Milhões","R$ 146,50",ERCR11
EUROPA 105 - FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.469.385/0001-64,Investidor Qualificado,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,17% a.a sobre patrimônio liquido (minimo R$16.000,00 mensais)","0,00%",486,500.911,"R$ 159,52","R$ 79,90 Milhões","R$ 0,95",ERPA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,05.437.916/0001-27,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"5,0% a.a","0,00%",2.103,383.925,"R$ 329,52","R$ 126,51 Milhões","R$ 1,95",EURO11
VBI CONSUMO ESSENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.691.520/0001-00,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$20.000,00 mensais)","0,50%",1.284,57.498.025,"R$ 9,82","R$ 564,53 Milhões","R$ 0,13",EVBI11
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.851/0001-03,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,"0,00%",639,7.105.433,"R$ 9,73","R$ 69,11 Milhões","R$ 0,13",EXES11
FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII ANHANGUERA EDUCACIONAL,11.179.118/0001-45,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,"0,3% a.a.","0,00%",4.239,692.366,"R$ 222,08","R$ 153,76 Milhões","R$ 1,71",FAED11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - EDIFÍCIO ALMIRANTE BARROSO,05.562.312/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"2,50% a.m sobre receita operacional","89,31%",2.110,122.527,"R$ 1.844,83","R$ 226,06 Milhões","R$ 45,43",FAMB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$18.000,00 mensais)","0,38%",17.450,4.473.324,"R$ 98,54","R$ 440,82 Milhões","R$ 0,80",FATN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO – CAMPUS FARIA LIMA,11.602.654/0001-01,Geral,Renda,Educacional,Fundo de Tijolo,Indeterminado,Passiva,"0,30% a.a sobre valor total dos ativos (minimo R$30.000,00 mensais)","0,00%",3.308,3.473.999,"R$ 123,21","R$ 428,03 Milhões","R$ 0,91",FCFL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL FUNDO DE CRI,09.552.812/0001-14,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,95% ao ano sobre PL ou valor de mercado","0,00%",23.028,6.103.498,"R$ 91,87","R$ 560,71 Milhões","R$ 0,95",FEXC11
,,,,,,,,,,,,,,,FFCI11
FG AGRO FDO DE INVEST,42.405.905/0001-91,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",49.829,45.081.438,"R$ 9,45","R$ 425,90 Milhões","R$ 0,12",FGAA11
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.590.518/0001-25,Geral,Desenvolvimento para venda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a","6,80%",12.305,2.849.989,"R$ 76,18","R$ 217,11 Milhões","R$ 0,45",FIGS11
FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL,14.217.108/0001-45,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,3% a.m R.B,"0,00%",15.459,684.989,"R$ 475,34","R$ 325,61 Milhões","R$ 3,90",FIIB11
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.696.175/0001-97,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Passiva,"R$17.426,00 mensais","0,00%",6.439,927.151,"R$ 199,07","R$ 184,57 Milhões","R$ 1,40",FIIP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401,12.804.013/0001-00,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"3,6% a.a","7,50%",207,1.699.985,"R$ 114,18","R$ 194,11 Milhões","R$ 0,50",FISC11
SÃO DOMINGOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.543.270/0001-89,Investidor Qualificado,Títulos e valores mobiliários,Outros,Fundo de papel,Determinado,Ativa,,"0,00%",17,1.072.577,"R$ 46,69","R$ 50,08 Milhões","R$ 0,47",FISD11
,,,,,,,,,,,,,,,FIXX11
FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO,33.884.145/0001-51,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a","0,00%",2.991,751.833,"R$ 95,01","R$ 71,43 Milhões","R$ 1,15",FLCR11
,,,,,,,,,,,,,,,FLFL11
FUNDO DE INVESTIMENTO IMOBILIÁRIO CONTINENTAL SQUARE FARIA LIMA,04.141.645/0001-03,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,2% do resultado a ser distribuído aos cotistas,"19,90%",12.373,1.380.659,"R$ 220,51","R$ 304,45 Milhões","R$ 1,30",FLMA11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FLORIPA SHOPPING,10.375.382/0001-91,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"9,0% a.m","1,20%",1.107,7.249.989,"R$ 20,45","R$ 148,25 Milhões","R$ 0,14",FLRP11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MEMORIAL OFFICE,01.633.741/0001-72,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"5,0% das receitas brutas auferidas","0,00%",236,507.997,"R$ 115,91","R$ 58,88 Milhões","R$ 0,42",FMOF11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PROJETO ÁGUA BRANCA,03.251.720/0001-18,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"5,0% das receitas brutas auferidas","18,00%",727,749.989,"R$ 354,43","R$ 265,82 Milhões","R$ 1,30",FPAB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA,17.161.979/0001-82,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"2% do resultado operacional (mínimo R$5.000,00 mensais)","2,10%",142,2.611.947,"R$ 174,27","R$ 455,18 Milhões","R$ 4,83",FPNG11
,,,,,,,,,,,,,,,FRBR11
,,,,,,,,,,,,,,,FTCA11
,,,,,,,,,,,,,,,FTCE11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI FL 4440,13.022.993/0001-44,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,17% a.a sobre patrimônio liquido (minimo R$15.000,00 mensais)","0,00%",0,0,"R$ 0,00",R$ -,"R$ 0,37",FVBI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,12% a.a","10,50%",4.038,2.800.138,"R$ 174,14","R$ 487,63 Milhões","R$ 1,00",FVPQ11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,18.085.673/0001-57,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio líquido (mínimo de R$13.000,00 mensais)","0,00%",10.956,15.281.377,"R$ 9,79","R$ 149,53 Milhões","R$ 0,11",FYTO11
051 AGRO,44.625.694/0001-28,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",308,1.549.989,"R$ 173,55","R$ 269,01 Milhões","R$ 4,11",FZDA11
051 AGRO FAZENDAS III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO - IMOB,49.489.928/0001-70,Investidor Qualificado,Híbridos,Outros,Fundo misto,Indeterminado,Ativa,,,0,0,"R$ 0,00",,"R$  0,00",FZDB11
GUARDIAN LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.295.919/0001-60,fii.GENERAL,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,95% - 1,01% a.a sobre PL (mínimo R$40.000,00 mensais)","0,00%",116.114,57.485.289,"R$ 9,95","R$ 571,71 Milhões","R$ 0,08",GALG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GUARDIAN MULTIESTRATÉGIA I,41.269.052/0001-45,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"1,10% a.a.","0,00%",22.140,21.697.666,"R$ 9,34","R$ 202,71 Milhões","R$ 0,10",GAME11
FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE,37.295.919/0001-60,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,94% - 1,00% a.a sobre PL","0,00%",371.429,147.458.212,"R$ 9,02","R$ 1,33 Bilhão","R$ 0,08",GARE11
GALAPAGOS FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.154/0001-42,Geral,Renda,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"1,00% a.a","0,00%",1.923,338.587,"R$ 78,83","R$ 26,69 Milhões","R$ 0,75",GCFF11
GALAPAGOS SPECIAL OPORTUNITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,46.285.299/0001-79,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,17%a.a.","0,00%",376,112.989,"R$ 96,95","R$ 10,96 Milhões","R$  0,00",GCOI11
GALÁPAGOS RECEBÍVEIS DO AGRONEGÓCIO,37.037.297/0001-70,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",7.484,1.750.854,"R$ 86,46","R$ 151,38 Milhões","R$ 0,66",GCRA11
GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,38.293.897/0001-61,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$20.000,00 mensais)","0,00%",4.442,1.453.848,"R$ 90,58","R$ 131,69 Milhões","R$ 0,87",GCRI11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GENERAL SEVERIANO,17.007.528/0001-95,Investidor Qualificado,Renda,Educacional,Fundo de Tijolo,Determinado,Passiva,"0,18% a.a","0,00%",51,51.989,"R$ 1.119,08","R$ 58,19 Milhões","R$ 14,97",GESE11B
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.614.291/0001-00,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,10% a.a.","1,40%",173.971,136.643.188,"R$ 11,35","R$ 1,55 Bilhão","R$ 0,10",GGRC11
,,,,,,,,,,,,,,,GLCR11
PLURAL LOGÍSTICA FDO. INV. IMOB.,36.501.198/0001-34,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,7%","28,00%",2.065,749.989,"R$ 6,43","R$ 4,82 Milhões","R$ 0,41",GLOG11
,,,,,,,,,,,,,,,GLPF11
CSHG GR LOUVEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.143.998/0001-86,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,60% a.a","3,70%",2.599,1.073.519,"R$ 5,97","R$ 6,41 Milhões","R$ 0,17",GRLV11
Icatu Vanguarda GRU Logístico,54.483.412/0001-59,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,"0,00%",5.152,24.699.989,"R$ 9,61","R$ 237,25 Milhões","R$ 0,11",GRUL11
GREENWICH AGRO FIAGRO,47.240.671/0001-93,Geral,,Fiagros,Outro,Indeterminado,Ativa,,"0,00%",2.336,2.758.475,"R$ 9,98","R$ 27,52 Milhões","R$ 0,06",GRWA11
GENERAL SHOP E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.769.604/0001-13,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"1,05% a.a","10,40%",6.586,96.106.655,"R$ 13,01","R$ 1,25 Bilhão","R$  0,00",GSFI11
GTIS BRAZIL LOGISTICS FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.200.677/0001-10,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido","1,80%",336,7.172.989,"R$ 60,62","R$ 434,81 Milhões","R$ 0,84",GTLG11
FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS,23.740.527/0001-58,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,25% a.a","0,00%",36.385,11.999.989,"R$ 99,75","R$ 1,20 Bilhão","R$ 0,87",GTWR11
,,,,,,,,,,,,,,,GURB11
FUNDO DE INVESTIMENTO IMOBILIÁRIO GWI RENDA IMOBILIÁRIA,14.733.211/0001-48,Investidor Qualificado,Renda,Shoppings / Varejo,Outro,Indeterminado,Passiva,,"0,00%",204,382.006,"R$ 238,79","R$ 91,22 Milhões","R$  0,00",GWIR11
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.447.108/0001-02,Investidor Qualificado,Híbridos,Híbrido,Fundo misto,Indeterminado,Ativa,,"3,30%",7.087,21.841.220,"R$ 91,11","R$ 1,99 Bilhão","R$ 0,78",GZIT11
HEDGE AAA FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.445.482/0001-40,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,60% a.a. sobre patrimônio líquido","17,00%",219,3.454.989,"R$ 67,06","R$ 231,68 Milhões","R$ 0,08",HAAA11
HABITAT II - FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.578.417/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a.","0,00%",62.859,8.126.772,"R$ 94,50","R$ 768,01 Milhões","R$ 1,15",HABT11
HBC RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO,36.501.159/0001-37,Geral,Desenvolvimento para renda,Lajes Corporativas,Fundo misto,Indeterminado,Ativa,"0,18% a.a. sobre patrimônio líquido","0,00%",32,1.599.989,"R$ 124,30","R$ 198,87 Milhões","R$ 0,46",HBCR11
FUNDO DE INVESTIMENTO IMOBILIÁRIO MULTI RENDA URBANA,30.871.698/0001-81,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,"0,86% a.a sobre patrimônio liquido","0,00%",899,2.772.193,"R$ 112,06","R$ 310,66 Milhões","R$ 0,17",HBRH11
FUNDO DE INVESTIMENTO IMOBILIÁRIO HABITAT I,26.846.202/0001-42,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Determinado,Ativa,"0,20% a.a.","0,00%",0,-,"R$ 0,00","R$ 51,24 Mil","R$  0,00",HBTT11
HECTARE RECEBÍVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.508.959/0001-54,Geral,Títulos e valores mobiliários,Outros,Fundo de papel,Indeterminado,Ativa,"0,20% a.a. sobre patrimônio líquido","0,00%",584,1.199.989,"R$ 95,34","R$ 114,41 Milhões","R$ 0,95",HCHG11
FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL DA CRIANÇA,04.066.582/0001-60,Geral,Renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,"2,0% a.m","0,00%",3.002,199.989,"R$ 325,98","R$ 65,20 Milhões","R$ 2,73",HCRI11
HECTARE CE - FUNDOS INVESTIMENTO IMOBILIÁRIOS,30.248.180/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,21% a.a PL","0,00%",141.454,22.084.191,"R$ 103,27","R$ 2,28 Bilhões","R$ 0,28",HCTR11
