valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,tag_along,segmento_de_listagem,free_float,setor,segmento,papel
1929724000,2163198000,1270411000,362049000,2364537000,2364537000,559319000,233474000,325845000,100.00,nível 1,24.96,telecomunicações,telecomunicações,fiqe3
484994000,1517773000,194535000,140986000,3567099000,1266473000,1285250000,1032779000,252471000,100.00,novo mercado,100.00,bens industriais,produtos para construção,ptbl3
1595421000,8220920000,1819294000,286431000,12228958000,4527230000,8019469000,6625499000,1393970000,100.00,novo mercado,22.06,bens industriais,transporte rodoviário,jslg3
2254981000,2489374000,2350165000,179393000,3621064000,1969159000,545170000,234393000,310777000,100.00,nível 1,16.55,saúde,serviços médicos. hospitalares. análises e diagnósticos,blau3
1603675000,2853998000,916790000,199959000,2809573000,869810000,1552037000,1250323000,301714000,100.00,nível 1,37.82,utilidade pública,água e saneamento,opct3
2151087000,2151087000,1165009000,227126000,30050215000,27091662000,,,45774000,100.00,nível 2,24.22,financeiro,bancos,pine4
4151559000,5332631000,739079000,135539000,3732397000,2295126000,1389945000,1181072000,208873000,100.00,novo mercado,39.00,consumo cíclico,automóveis e motocicletas,leve3
2045083000,2671442000,1542863000,364542000,4659040000,994728000,1282338000,626359000,655979000,100.00,nível 1,12.39,consumo cíclico,serviços educacionais,csed3
1007836000,1536413000,1385550000,123812000,5636171000,3957027000,792119000,528577000,263542000,100.00,novo mercado,73.46,saúde,medicamentos e outros produtos,pfrm3
798262000,838608000,1069819000,206269000,2596784000,1938031000,439029000,40346000,398683000,100.00,novo mercado,92.04,consumo cíclico,incorporações,melk3
1327162000,2978658000,1538276000,438007000,4098291000,635960000,2002147000,1651496000,350651000,100.00,nível 1,20.04,telecomunicações,telecomunicações,brst3
963744000,1723153000,1449627000,275355000,4328790000,984773000,1108801000,759409000,349392000,100.00,novo mercado,38.45,consumo cíclico,restaurante e similares,zamp3
,16786570000,809605000,314987000,16954314000,16811591000,,,16786570000,100.00,nível 2,44.99,financeiro,bancos,brbi11
422864000,1032009000,864732000,361423000,2252060000,1069357000,849349000,609145000,240204000,100.00,nível 1,52.20,financeiro,outros,espa3
1797945000,1856140000,1721545000,81836000,2874061000,1451786000,605031000,58195000,546836000,100.00,novo mercado,95.08,bens industriais,serviços diversos,vlid3
1440687000,1838941000,1534996000,186617000,3292028000,2862338000,965427000,398254000,567173000,100.00,novo mercado,38.37,consumo cíclico,incorporações,tris3
1457157000,2469806000,1264170000,150377000,3583121000,2145644000,1404790000,1012649000,392141000,100.00,tradicional,47.41,saúde,medicamentos e outros produtos,pnvl3
7979699000,9244871000,4444823000,1136271000,9779703000,6022307000,3259077000,1265172000,1993905000,100.00,nível 2,76.12,bens industriais,material rodoviário,pomo3
22578738000,48679125000,10239102000,6179682000,62163679000,16586925000,35826069000,26100387000,9725682000,100.00,nível 2,63.92,materiais básicos,papel e celulose,klbn3
10855493000,12231189000,12030707000,1511205000,26002141000,7487443000,7255705000,1375696000,5880009000,100.00,nível 2,79.97,utilidade pública,água e saneamento,sapr3
86319000,5329203000,6658139000,81433000,1559819000,342941000,5280123000,5242884000,37239000,100.00,novo mercado,100.00,materiais básicos,artefatos de cobre,pmam3
55057000,55053000,23642000,31822000,41658000,13921000,,4000,4000,0.00,tradicional,61.28,bens industriais,material rodoviário,rcsl3
370619000,1014790000,1292895000,373114000,3026411000,277677000,731574000,644171000,87403000,100.00,nível 2,23.69,utilidade pública,energia elétrica,rnew4
2169242000,4101914000,3832178000,87859000,7160498000,1267511000,2525455000,1932672000,592783000,100.00,novo mercado,57.32,financeiro,exploração de imóveis,logg3
2035185000,3126343000,2103468000,102683000,3825853000,1188400000,1327380000,1091158000,236222000,100.00,novo mercado,62.15,consumo não cíclico,agricultura,agro3
1596651000,3389930000,2736285000,134172000,5946304000,950109000,2351921000,1793279000,558642000,100.00,novo mercado,0.00,consumo cíclico,serviços educacionais,vtru3
662884000,810389000,601557000,150314000,910741000,530450000,211112000,147505000,63607000,100.00,nível 1,31.87,consumo não cíclico,agricultura,vitt3
130276656000,134387656000,89574000000,10993810000,114124000000,13025000000,11434000000,4111000000,7323000000,80.00,nível 1,65.74,financeiro,holdings diversificadas,itsa3
7182038000,8239664000,2809925000,113173000,7539380000,3075524000,2805160000,1057626000,1747534000,0.00,tradicional,55.28,materiais básicos,químicos diversos,unip6
